16-81038"Estudiante 04"4.8678050
21-12149"Estudiante 00"4.0579050
15-31324"Estudiante 09"2.8265110
20-57475"Estudiante 01"3.1364057
19-00620"Estudiante 07"4.9435079
17-21035"Estudiante 02"4.1407056
16-75345"Estudiante 12"4.6958079
19-53168"Estudiante 18"4.5599071
16-82431"Estudiante 10"3.2272117
17-53031"Estudiante 11"2.5657098
16-46067"Estudiante 19"3.7926080
17-07230"Estudiante 15"2.6535056
19-49939"Estudiante 16"4.5015105
15-92677"Estudiante 03"4.1417077
20-84723"Estudiante 14"2.7395093
21-41678"Estudiante 05"4.5734074
20-35368"Estudiante 06"4.1589093
19-29226"Estudiante 17"3.8744081
17-35531"Estudiante 08"2.7361068
21-52263"Estudiante 13"2.9305076
